	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88
count	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0	391.0
mean	0.44440705843819267	0.42563691573827794	0.4381236522928389	0.4227478212139813	0.4247733287909207	0.42695898732608695	0.4115859348465473	0.4002524785331719	0.38224151613446133	0.3976167495421994	0.3929103509438773	0.40833058472378525	0.3942042819594007	0.39043180083386225	0.39654318665415084	0.3940590413530573	0.3915178122867533	0.3914994202276812	0.3885241247450755	0.3934390499907244	0.38728104673434194	0.3922225572529894	0.3885945448031216	0.38729541573077625	0.39880893045538074	0.3959859117022516	0.39558424807933196	0.3897022403606031	0.3941094586232019	0.3959269084069109	0.38933625007768397	0.39246668824806696	0.38470653202567096	0.3867152199626036	0.3935432724571682	0.38433880562054196	0.38505472838498744	0.38835021361325556	0.39389044114370336	0.3897431879412598	0.38163659934545885	0.3857045259519258	0.39729646204181096	0.40378395418610613	0.3960594821257762	0.38250282340849545	0.3954313834206563	0.3860419806203262	0.39916570019662073	0.3929750644278017	0.39005437051596814	0.3916920943812312	0.38533592354599766	0.3880097534321513	0.3910197556860963	0.37721511824171844	0.3912589780882544	0.3846439706433896	0.378961657383309	0.38816760757818725	0.39193291333197694	0.3847947075642105	0.37954176502335113	0.3923455956824488	0.38758235928383006	0.39705687536662565	0.39293665769380487	0.388522824560796	0.3947096575353832	0.39116985232121854	0.38805478837026275	0.39276031466224715	0.39196640165822877	0.3910432066918583	0.38338699360206796	0.389054298296085	0.38011174041515516	0.38703142165266213	0.3849919180949915	0.3916563638659846	0.3819464727634701	0.38711051575606137	0.3980146418980179	0.38541314007971017	0.3865066391176471	0.37730927310656437	0.43165094943375965	0.38792740727795394
std	0.29583745200010164	0.3053640334316664	0.2997315447174724	0.3042642408547593	0.2977986749029825	0.3065302575532971	0.31503864278760957	0.2984812849017961	0.32841699601580226	0.2872591034748669	0.32292651675212297	0.29345747821606294	0.3287299114064121	0.33425287348409316	0.32964952948933496	0.3264290849917426	0.3276401023449424	0.3219739508577863	0.3132725409759127	0.3206895941428052	0.31130606124054927	0.32310250780509037	0.3137132220255015	0.30718517023363034	0.3061139228373652	0.31379781639462045	0.29679602827598234	0.2976514756467745	0.3061881273439755	0.3030793743806322	0.30533520170049316	0.29493068277567785	0.2984221815516135	0.2851365235844106	0.28567766721518484	0.27806399491521183	0.27125894355928226	0.27976117326810274	0.2699894355051388	0.2687174622119669	0.26416211216701535	0.2627236284168004	0.25938326975255593	0.26130365426791113	0.2622983004428344	0.25331428381531135	0.2593802803120634	0.2521220821900815	0.26355411150893215	0.2520120251280696	0.2586480722146628	0.25404396861206413	0.252648578396257	0.25702633032686334	0.2525835148762376	0.24603738336760095	0.25297387262538107	0.2545103518483887	0.24862912297658912	0.24545785386420452	0.2536522130480468	0.25625841827066165	0.2518393754699611	0.25913345680063954	0.2511544242009469	0.2563148291548945	0.25669470099348796	0.2563993530854862	0.2591450005968638	0.26062088050691595	0.26232215053257635	0.25670715938462635	0.2587315884364425	0.2545084018293807	0.26409235879763304	0.26063423730171764	0.260417333671828	0.2646132573098952	0.2637923832398634	0.25552019069329135	0.25937189273008826	0.26686253045137737	0.26145363001370725	0.2549717288651928	0.25859560870577397	0.2679090394394347	0.26126755823507836	0.26108902280961116
min	0.010958931	0.005809237666666667	0.011074363	0.007029759333333333	0.0059682735	0.006256284	0.00238308	0.00962574658089455	0.0085933360836317	0.004660227	0.010399812380587833	0.006368273000000001	0.0101729519137208	0.0103563018581634	0.01062728110131226	0.009737730422070089	0.010552635325030594	0.009556780324239037	0.009937599275212627	0.012793323016251537	0.010722804857973443	0.010764309622970975	0.01051401450440599	0.011670062381785825	0.01644732960288262	0.01057875611337919	0.025222249824315982	0.0106799177377882	0.01232454799382008	0.01149135865136304	0.010216245722969645	0.009625342222113488	0.01193878591295467	0.012244099226062047	0.03194334462435889	0.020523692876819502	0.029476345567878266	0.02033177116781026	0.04326718092442077	0.041809193989853055	0.032191011863491804	0.03469685244204452	0.03989006352442404	0.047281079932773154	0.029960348247456078	0.033624708936368014	0.0524239560784621	0.03315574442596418	0.05049340110367055	0.05646531144692531	0.04605417562123837	0.04504898744067417	0.03452217800667756	0.03650595509446441	0.03469026476124877	0.03578839525869825	0.03210187391184043	0.03077524696781841	0.03532613370187597	0.03961848597365365	0.03393245670174287	0.022355522997194354	0.032026410165682244	0.040130188876386606	0.021636035062958817	0.028954815749677745	0.019259114902686267	0.02090522724713708	0.016638007694939894	0.023062956320636138	0.005791955182040917	0.011321150080081605	0.02532693611835651	0.02309573666426634	0.0058528371136016295	0.002733610846153846	0.004264115083061816	0.0035973671363636367	0.00690882915	0.0049897236	0.00333132689336058	0.00803466522	0.0074269867500000005	0.008310409999999999	0.009354751333333333	0.0012897423333333333	0.0	0.0164913522
25%	0.16810571616666664	0.14395856299999998	0.159175566	0.14617544866666668	0.15593578475	0.14759671924999998	0.124270862	0.134353387486768	0.0892488433274765	0.1494230895	0.10719142554704064	0.149933655	0.1001628716811177	0.09381569659286007	0.10508922745629956	0.10492489021433919	0.1022254858635305	0.10572124024868632	0.11059922763216229	0.10914155435617924	0.11445851988617217	0.10686696643838783	0.1139942671867364	0.12264993105779848	0.1275957964638489	0.11955513580020258	0.14065280911803	0.12335370549326213	0.12717141399600457	0.1274956569227329	0.12262497294102989	0.1333482802091519	0.12275488445261343	0.13955427635515716	0.14547923112527217	0.14269571435777695	0.1551099686572987	0.14540225781771865	0.1593771980332475	0.1570851551146166	0.15685897836967816	0.16115510062336255	0.17429209039859073	0.17362206041186629	0.16967765509144422	0.1696871215580954	0.17154678775233903	0.1722734352598539	0.17168373381097682	0.1782567626468491	0.1681037526607693	0.17449477631239677	0.17401162121059266	0.1772364749640542	0.1720371936868947	0.17943000368579745	0.18046748543217347	0.1760850570574326	0.17332184017289254	0.18410544161049006	0.1803145938394906	0.1746701608424499	0.1736243785059928	0.17339419896322839	0.1813420340248339	0.1854347214021217	0.18062731861941111	0.17921730023337293	0.18628680751053486	0.18355751124842257	0.17623269188622498	0.18214706528062904	0.18068023541959155	0.18741826535613537	0.166204476251394	0.17586096538461538	0.17013388362389348	0.17185444590909094	0.17700489083333337	0.193973424	0.17364542850986442	0.17482853	0.18438173749999998	0.18661693333333335	0.17986039999999998	0.16570296166666668	0.2209143	0.17676397
50%	0.38609303733333333	0.35618725833333337	0.369073065	0.3546528143333334	0.3471820115	0.33733514649999996	0.320876651	0.306419874120206	0.287780723448391	0.314035785	0.274433740924289	0.3291805715	0.26984834171367	0.267407727047812	0.2879591081954174	0.27902829284376024	0.27555703113627666	0.28552853304374376	0.2809839616166199	0.28457708982570523	0.2859918969721994	0.27902459207104413	0.276025372137545	0.28066909506529997	0.3035800763276927	0.28762010417492384	0.3026158793351348	0.29508137190134787	0.2994047339256357	0.291679998434262	0.28984351104647904	0.2983737527954605	0.27650995443950904	0.2802010492512697	0.29540906973982345	0.28712735805102424	0.2930344714010501	0.2825799214837719	0.29884438933633156	0.292918506088354	0.27924937617514883	0.2904970113101572	0.3089104440653346	0.32528980841529687	0.3145284600193366	0.2953517485948709	0.3068363039017532	0.29884182529809683	0.30626228210622713	0.30885622734054385	0.300365206773669	0.30642819081495454	0.3008033033110433	0.2991595796700943	0.31697292318954845	0.296239162473231	0.3125474186832525	0.2971651813372376	0.3030970587637326	0.31494254647233244	0.3130372094103693	0.301653898750339	0.29625453279493175	0.3105306677807727	0.31234629459319974	0.3227833843656419	0.31173914820932436	0.3129582297728621	0.31336494882615	0.3189327674924567	0.3079809622726579	0.31759202076739934	0.3093133834068674	0.31289468989368485	0.3005401489855412	0.3088980307692308	0.29858221136785906	0.30496629090909094	0.29806394166666667	0.31227353999999996	0.30146725094404025	0.30368671999999997	0.326005375	0.3077565666666667	0.3029395666666667	0.29408356666666663	0.37581155	0.30005514
75%	0.7334271483333334	0.7221310215	0.7215336015	0.7074677750833334	0.7040130073749999	0.71977643775	0.697768486	0.6843126744443475	0.6522274002660196	0.6373723794999999	0.677736586514968	0.6640190422500001	0.6734124358396922	0.6960450595220762	0.7016211356783316	0.6935346327494848	0.6939014950217537	0.6685154508460496	0.6602344604901098	0.6676162734744346	0.6614687854903545	0.6563823305025447	0.6510215247982285	0.6363551514617518	0.6543314378611703	0.6455440736191259	0.6195762992080367	0.6288091592890763	0.6460693355654235	0.6305905253429243	0.6268472746714646	0.6227346375996491	0.6150680532060077	0.6032221119831719	0.6134472792804337	0.593129083105558	0.6052260969048685	0.598822000162921	0.6038449791349023	0.5844377598381821	0.5815023501069474	0.5818980272967443	0.6026078188780744	0.5898705753455769	0.597799168940169	0.5630269798356988	0.5935994316023611	0.5654029785281002	0.6020535580948478	0.5707502458089937	0.5764079698082907	0.573112555005848	0.5668904956937482	0.5653388843379735	0.5735241630497874	0.5387081397523856	0.5682015160139705	0.5574076978160087	0.5537282006120929	0.5746054872677591	0.5682332420104124	0.5601128104346806	0.5432953022083273	0.5690245694157137	0.5507099862258773	0.5720905626359056	0.5680452141164833	0.5601730865185064	0.58473283074643	0.5671869226951269	0.5683944097036393	0.5704846820684335	0.572362255191164	0.5673900310870471	0.5593878151708709	0.5628389269230769	0.5516496243785087	0.5539903818181819	0.5509324416666667	0.5519291199999999	0.5400882179503095	0.55449584	0.58228725	0.540094675	0.5504354	0.5423564666666667	0.639275575	0.5481496
max	0.9750162216666668	0.9912705426666667	0.9908787485	0.9909737753333333	0.9960410305	0.9879331044999999	0.992094862	0.9800265541859696	0.994316150515355	0.998663572	0.9878186144237556	0.99095052	0.993096344432982	0.9905591952562766	0.9786108822608603	0.9809919561956871	0.9833329652098185	0.9782979615341401	0.9776569362911605	0.9781598895545912	0.9711825018396164	0.9793746872009494	0.976557462486431	0.972868922590365	0.9808351666773525	0.9806586348691362	0.9658951232550402	0.9806518899684875	0.9780073231217141	0.9816366035645145	0.9774884888676711	0.9593130390985974	0.9772593225659607	0.983143524130275	0.9656593009321256	0.9558962667795439	0.9626912555273949	0.9661205323349649	0.9346163824405417	0.9429250025418747	0.9307803026875668	0.9407338301511982	0.9385778161441565	0.9430943509920946	0.9592537800065906	0.9415941722102402	0.9421298205281996	0.94344217842947	0.9382067733093922	0.9381760408878499	0.9390058562571277	0.9343530904192134	0.962363550884478	0.9387953978975927	0.9331814432855235	0.9355793608314614	0.9340816433933955	0.9284397505000711	0.9595774309502971	0.9394234531802798	0.935091282311991	0.9320895467911886	0.9310845342630999	0.9346118497672831	0.9271192581302602	0.9378982729854425	0.9528687609485978	0.9402815434389132	0.9516230175898072	0.9678375466799871	0.9876202156276302	0.951002099696494	0.9871958177004713	0.9458755665568511	0.989112666605335	0.992052753846154	0.9914812560481577	0.9888780090909091	0.9872348250000001	0.9914148200000001	0.9910260011213907	0.9872580599999999	0.985058375	0.9817119499999999	0.9806869666666667	0.9925248333333333	0.99550145	0.9800456399999999
